date,sales
2022-09-15,2927
2022-09-16,2566
2022-09-17,2813
2022-09-18,3589
2022-09-19,3025
2022-09-20,1776
2022-09-21,2350
2022-09-22,1678
2022-09-23,3640
2022-09-24,2679
2022-09-25,2849
2022-09-26,2500
2022-09-27,1762
2022-09-28,4670
2022-09-29,2867
2022-09-30,2343
2022-10-01,2578
2022-10-02,2401
2022-10-03,2452
2022-10-04,1978
2022-10-05,1245
2022-10-06,2380
2022-10-07,2387
2022-10-08,4385
2022-10-09,2953
2022-10-10,2155
2022-10-11,1739
2022-10-12,1713
2022-10-13,1944
2022-10-14,3106
2022-10-15,3571
2022-10-16,3075
2022-10-17,2946
2022-10-18,3661
2022-10-19,1717
2022-10-20,2843
2022-10-21,1604
2022-10-22,3417
2022-10-23,2182
2022-10-24,4024
2022-10-25,2346
2022-10-26,2960
2022-10-27,1977
2022-10-28,2354
2022-10-29,3728
2022-10-30,2746
2022-10-31,3526
2022-11-01,2433
2022-11-02,2027
2022-11-03,3270
2022-11-04,2588
2022-11-05,1853
2022-11-06,1529
2022-11-07,2240
2022-11-08,3490
2022-11-09,1493
2022-11-10,3079
2022-11-11,3118
2022-11-12,3153
2022-11-13,3253
2022-11-14,2366
2022-11-15,2545
2022-11-16,2375
2022-11-17,2279
2022-11-18,2501
2022-11-19,1862
2022-11-20,2588
2022-11-21,1986
2022-11-22,3619
2022-11-23,2904
2022-11-24,1645
2022-11-25,3552
2022-11-26,2616
2022-11-27,1911
2022-11-28,2621
2022-11-29,1500
2022-11-30,2914
2022-12-01,3518
2022-12-02,2653
2022-12-03,2817
2022-12-04,3165
2022-12-05,2528
2022-12-06,2809
2022-12-07,2870
2022-12-08,3580
2022-12-09,1470
2022-12-10,2072
2022-12-11,3371
2022-12-12,2503
2022-12-13,3043
2022-12-14,3466
2022-12-15,3230
2022-12-16,3581
2022-12-17,3411
2022-12-18,3321
2022-12-19,2366
2022-12-20,1701
2022-12-21,3308
2022-12-22,2138
2022-12-23,3614
2022-12-24,2053
2022-12-25,2353
2022-12-26,2108
2022-12-27,2288
2022-12-28,2274
2022-12-29,2561
2022-12-30,3399
2022-12-31,2425
2023-01-01,3240
2023-01-02,1852
2023-01-03,2321
2023-01-04,2105
2023-01-05,2809
2023-01-06,2171
2023-01-07,2584
2023-01-08,2735
2023-01-09,1648
2023-01-10,2180
2023-01-11,721
2023-01-12,3042
2023-01-13,2861
2023-01-14,3047
2023-01-15,3468
2023-01-16,2331
2023-01-17,2704
2023-01-18,3013
2023-01-19,3287
2023-01-20,2336
2023-01-21,2371
2023-01-22,1721
2023-01-23,1801
2023-01-24,2297
2023-01-25,3249
2023-01-26,3224
2023-01-27,3137
2023-01-28,2623
2023-01-29,1558
2023-01-30,2542
2023-01-31,2151
2023-02-01,4049
2023-02-02,2786
2023-02-03,3799
2023-02-04,2870
2023-02-05,2616
2023-02-06,2297
2023-02-07,2023
2023-02-08,4461
2023-02-09,1763
2023-02-10,2322
2023-02-11,2216
2023-02-12,2848
2023-02-13,3413
2023-02-14,2624
2023-02-15,2234
2023-02-16,2104
2023-02-17,2017
2023-02-18,2439
2023-02-19,3674
2023-02-20,2520
2023-02-21,2373
2023-02-22,1389
2023-02-23,3233
2023-02-24,2387
2023-02-25,3127
2023-02-26,2184
2023-02-27,2730
2023-02-28,1519
2023-03-01,3648
2023-03-02,2696
2023-03-03,3378
2023-03-04,1759
2023-03-05,3285
2023-03-06,3927
2023-03-07,1787
2023-03-08,2483
2023-03-09,2887
2023-03-10,3047
2023-03-11,3294
2023-03-12,1473
2023-03-13,2817
2023-03-14,1797
2023-03-15,1416
2023-03-16,3656
2023-03-17,1733
2023-03-18,2594
2023-03-19,1378
2023-03-20,2958
2023-03-21,1754
2023-03-22,1527
2023-03-23,2252
2023-03-24,2421
2023-03-25,2127
2023-03-26,2508
2023-03-27,3183
2023-03-28,3186
2023-03-29,2879
2023-03-30,2520
2023-03-31,2006
2023-04-01,1820
2023-04-02,1308
2023-04-03,2219
2023-04-04,2372
2023-04-05,2930
2023-04-06,2542
2023-04-07,2503
2023-04-08,4935
2023-04-09,4441
2023-04-10,1785
2023-04-11,3809
2023-04-12,2233
2023-04-13,2609
2023-04-14,2028
2023-04-15,2321
2023-04-16,3271
2023-04-17,2467
2023-04-18,2204
2023-04-19,3574
2023-04-20,2128
2023-04-21,2007
2023-04-22,1729
2023-04-23,2491
2023-04-24,1802
2023-04-25,2818
2023-04-26,3030
2023-04-27,3096
2023-04-28,2789
2023-04-29,2289
2023-04-30,2583
2023-05-01,2532
2023-05-02,2647
2023-05-03,2868
2023-05-04,3735
2023-05-05,1947
2023-05-06,1491
2023-05-07,2177
2023-05-08,3036
2023-05-09,1923
2023-05-10,3709
2023-05-11,1830
2023-05-12,3625
2023-05-13,1701
2023-05-14,3116
2023-05-15,1842
2023-05-16,3048
2023-05-17,1902
2023-05-18,2653
2023-05-19,2046
2023-05-20,4644
2023-05-21,2838
2023-05-22,3578
2023-05-23,1742
2023-05-24,3928
2023-05-25,2721
2023-05-26,3721
2023-05-27,1669
2023-05-28,3463
2023-05-29,2606
2023-05-30,2095
2023-05-31,1908
2023-06-01,2850
2023-06-02,2085
2023-06-03,2078
2023-06-04,1690
2023-06-05,3551
2023-06-06,2904
2023-06-07,2571
2023-06-08,3254
2023-06-09,2801
2023-06-10,2686
2023-06-11,2979
2023-06-12,2772
2023-06-13,2677
2023-06-14,3963
2023-06-15,1896
2023-06-16,1263
2023-06-17,2888
2023-06-18,3063
2023-06-19,3786
2023-06-20,3521
2023-06-21,2769
2023-06-22,1768
2023-06-23,4024
2023-06-24,2506
2023-06-25,2315
2023-06-26,2070
2023-06-27,3187
2023-06-28,2646
2023-06-29,3089
2023-06-30,2846
2023-07-01,2994
2023-07-02,2679
2023-07-03,2183
2023-07-04,2813
2023-07-05,1655
2023-07-06,3725
2023-07-07,1899
2023-07-08,3366
2023-07-09,3514
2023-07-10,2885
2023-07-11,2641
2023-07-12,2926
2023-07-13,2968
2023-07-14,1867
2023-07-15,3469
2023-07-16,4164
2023-07-17,2282
2023-07-18,3122
2023-07-19,3576
2023-07-20,2491
2023-07-21,2186
2023-07-22,2685
2023-07-23,2523
2023-07-24,1837
2023-07-25,2793
2023-07-26,3178
2023-07-27,2043
2023-07-28,3280
2023-07-29,2479
2023-07-30,3322
2023-07-31,2554
2023-08-01,2407
2023-08-02,1306
2023-08-03,2218
2023-08-04,2054
2023-08-05,2249
2023-08-06,3129
2023-08-07,3221
2023-08-08,2332
2023-08-09,2606
2023-08-10,2452
2023-08-11,1731
2023-08-12,3292
2023-08-13,2593
2023-08-14,2470
2023-08-15,2928
2023-08-16,1690
2023-08-17,2945
2023-08-18,3467
2023-08-19,2378
2023-08-20,2166
2023-08-21,1732
2023-08-22,2305
2023-08-23,2309
2023-08-24,2575
2023-08-25,2821
2023-08-26,2119
2023-08-27,2287
2023-08-28,3082
2023-08-29,2585
2023-08-30,4325
2023-08-31,2674
2023-09-01,1538
2023-09-02,2072
2023-09-03,3632
2023-09-04,2005
2023-09-05,2839
2023-09-06,2468
2023-09-07,4293
2023-09-08,1662
2023-09-09,2678
2023-09-10,2704
2023-09-11,1740
2023-09-12,3486
2023-09-13,2246
2023-09-14,2582
2023-09-15,2066
2023-09-16,2578
2023-09-17,1755
2023-09-18,2783
2023-09-19,3196
2023-09-20,2335
2023-09-21,3301
2023-09-22,3061
2023-09-23,1833
2023-09-24,2510
2023-09-25,2166
2023-09-26,3581
2023-09-27,3020
2023-09-28,2134
2023-09-29,3243
2023-09-30,2672
2023-10-01,2563
2023-10-02,2562
2023-10-03,3209
2023-10-04,1287
2023-10-05,2399
2023-10-06,3685
2023-10-07,2674
2023-10-08,3091
2023-10-09,2389
2023-10-10,2377
2023-10-11,2020
2023-10-12,2296
2023-10-13,2824
2023-10-14,3140
2023-10-15,2590
2023-10-16,2238
2023-10-17,2249
2023-10-18,2507
2023-10-19,3171
2023-10-20,2823
2023-10-21,2971
2023-10-22,3567
2023-10-23,3687
2023-10-24,4232
2023-10-25,4368
2023-10-26,3017
2023-10-27,1781
2023-10-28,4085
2023-10-29,3283
2023-10-30,2238
2023-10-31,2061
2023-11-01,1512
2023-11-02,1841
2023-11-03,937
2023-11-04,1630
2023-11-05,3827
2023-11-06,2065
2023-11-07,3430
2023-11-08,2473
2023-11-09,1858
2023-11-10,2708
2023-11-11,3102
2023-11-12,2073
2023-11-13,3263
2023-11-14,2624
2023-11-15,3266
2023-11-16,3954
2023-11-17,3387
2023-11-18,2655
2023-11-19,2157
2023-11-20,1699
2023-11-21,2904
2023-11-22,2392
2023-11-23,2797
2023-11-24,2868
2023-11-25,3703
2023-11-26,2388
2023-11-27,2760
2023-11-28,2789
2023-11-29,3956
2023-11-30,3017
2023-12-01,2296
2023-12-02,2688
2023-12-03,3883
2023-12-04,2594
2023-12-05,3287
2023-12-06,4307
2023-12-07,3193
2023-12-08,2508
2023-12-09,3020
2023-12-10,3005
2023-12-11,1752
2023-12-12,3172
2023-12-13,2491
2023-12-14,2582
2023-12-15,3777
2023-12-16,3831
2023-12-17,2152
2023-12-18,4543
2023-12-19,2998
2023-12-20,4359
2023-12-21,1495
2023-12-22,3667
2023-12-23,3215
2023-12-24,2964
2023-12-25,3808
2023-12-26,2261
2023-12-27,2861
2023-12-28,2610
2023-12-29,3330
2023-12-30,1656
2023-12-31,1916
2024-01-01,3334
