date,sales
2022-06-03,2390
2022-06-04,2529
2022-06-05,2011
2022-06-06,1996
2022-06-07,1068
2022-06-08,2165
2022-06-09,3634
2022-06-10,1706
2022-06-11,2205
2022-06-12,3149
2022-06-13,929
2022-06-14,1931
2022-06-15,4571
2022-06-16,3175
2022-06-17,3148
2022-06-18,2776
2022-06-19,3356
2022-06-20,2655
2022-06-21,3219
2022-06-22,4484
2022-06-23,2287
2022-06-24,2037
2022-06-25,3190
2022-06-26,3806
2022-06-27,2459
2022-06-28,2439
2022-06-29,3175
2022-06-30,3333
2022-07-01,2729
2022-07-02,2782
2022-07-03,3114
2022-07-04,1557
2022-07-05,2387
2022-07-06,3954
2022-07-07,1823
2022-07-08,2207
2022-07-09,2548
2022-07-10,5551
2022-07-11,2460
2022-07-12,2469
2022-07-13,2228
2022-07-14,4173
2022-07-15,3128
2022-07-16,3134
2022-07-17,1993
2022-07-18,3579
2022-07-19,3062
2022-07-20,2142
2022-07-21,2760
2022-07-22,2887
2022-07-23,3643
2022-07-24,2511
2022-07-25,2122
2022-07-26,3035
2022-07-27,2258
2022-07-28,1926
2022-07-29,2818
2022-07-30,2503
2022-07-31,2269
2022-08-01,3346
2022-08-02,2792
2022-08-03,4617
2022-08-04,1575
2022-08-05,3508
2022-08-06,1842
2022-08-07,2562
2022-08-08,3395
2022-08-09,3261
2022-08-10,2484
2022-08-11,3717
2022-08-12,3369
2022-08-13,3255
2022-08-14,3677
2022-08-15,2701
2022-08-16,3489
2022-08-17,2668
2022-08-18,3404
2022-08-19,3249
2022-08-20,2927
2022-08-21,3145
2022-08-22,3337
2022-08-23,2738
2022-08-24,2786
2022-08-25,2520
2022-08-26,2975
2022-08-27,1577
2022-08-28,2611
2022-08-29,3658
2022-08-30,2799
2022-08-31,2878
2022-09-01,1546
2022-09-02,3559
2022-09-03,3548
2022-09-04,4193
2022-09-05,2423
2022-09-06,3445
2022-09-07,1872
2022-09-08,2555
2022-09-09,3016
2022-09-10,2955
2022-09-11,1677
2022-09-12,4529
2022-09-13,2437
2022-09-14,2001
2022-09-15,3251
2022-09-16,2162
2022-09-17,2045
2022-09-18,2346
2022-09-19,3067
2022-09-20,2892
2022-09-21,2863
2022-09-22,3771
2022-09-23,2288
2022-09-24,2713
2022-09-25,3470
2022-09-26,1249
2022-09-27,1265
2022-09-28,2155
2022-09-29,3022
2022-09-30,3279
2022-10-01,2799
2022-10-02,2759
2022-10-03,2229
2022-10-04,2229
2022-10-05,2545
2022-10-06,2920
2022-10-07,1517
2022-10-08,2202
2022-10-09,2132
2022-10-10,1617
2022-10-11,1745
2022-10-12,2356
2022-10-13,2516
2022-10-14,3587
2022-10-15,3753
2022-10-16,2085
2022-10-17,3824
2022-10-18,2254
2022-10-19,4514
2022-10-20,3517
2022-10-21,3472
2022-10-22,2386
2022-10-23,2938
2022-10-24,1662
2022-10-25,2298
2022-10-26,2889
2022-10-27,2178
2022-10-28,3856
2022-10-29,2516
2022-10-30,5261
2022-10-31,2601
2022-11-01,3212
2022-11-02,2150
2022-11-03,2942
2022-11-04,1728
2022-11-05,1543
2022-11-06,1517
2022-11-07,3541
2022-11-08,1821
2022-11-09,3494
2022-11-10,2782
2022-11-11,3001
2022-11-12,4112
2022-11-13,2532
2022-11-14,2636
2022-11-15,2564
2022-11-16,2630
2022-11-17,3198
2022-11-18,2170
2022-11-19,3028
2022-11-20,2052
2022-11-21,2711
2022-11-22,2969
2022-11-23,1750
2022-11-24,3508
2022-11-25,2715
2022-11-26,2756
2022-11-27,3263
2022-11-28,3269
2022-11-29,4223
2022-11-30,2560
2022-12-01,2218
2022-12-02,2823
2022-12-03,2865
2022-12-04,2788
2022-12-05,1987
2022-12-06,1392
2022-12-07,2147
2022-12-08,2136
2022-12-09,2382
2022-12-10,3601
2022-12-11,2497
2022-12-12,3710
2022-12-13,3274
2022-12-14,3683
2022-12-15,3106
2022-12-16,2974
2022-12-17,3743
2022-12-18,4093
2022-12-19,1668
2022-12-20,2570
2022-12-21,2894
2022-12-22,1486
2022-12-23,2764
2022-12-24,1281
2022-12-25,2277
2022-12-26,3345
2022-12-27,1714
2022-12-28,2420
2022-12-29,3002
2022-12-30,2671
2022-12-31,4001
2023-01-01,1489
2023-01-02,3801
2023-01-03,2886
2023-01-04,2518
2023-01-05,3261
2023-01-06,2743
2023-01-07,3355
2023-01-08,2385
2023-01-09,2705
2023-01-10,3324
2023-01-11,2781
2023-01-12,2371
2023-01-13,1873
2023-01-14,4066
2023-01-15,2232
2023-01-16,2824
2023-01-17,4101
2023-01-18,2673
2023-01-19,2514
2023-01-20,3032
2023-01-21,2835
2023-01-22,3654
2023-01-23,3553
2023-01-24,2062
2023-01-25,2531
2023-01-26,2485
2023-01-27,1936
2023-01-28,3128
2023-01-29,2237
2023-01-30,2417
2023-01-31,2724
2023-02-01,2180
2023-02-02,3359
2023-02-03,2178
2023-02-04,3405
2023-02-05,2765
2023-02-06,2148
2023-02-07,2558
2023-02-08,1865
2023-02-09,2040
2023-02-10,1177
2023-02-11,1987
2023-02-12,3082
2023-02-13,2192
2023-02-14,3032
2023-02-15,3048
2023-02-16,4340
2023-02-17,2920
2023-02-18,3358
2023-02-19,2918
2023-02-20,2731
2023-02-21,3556
2023-02-22,2655
2023-02-23,2684
2023-02-24,3844
2023-02-25,1763
2023-02-26,2689
2023-02-27,3154
2023-02-28,2566
2023-03-01,1541
2023-03-02,2738
2023-03-03,1214
2023-03-04,2147
2023-03-05,3104
2023-03-06,1983
2023-03-07,4916
2023-03-08,2670
2023-03-09,2961
2023-03-10,2978
2023-03-11,3122
2023-03-12,3571
2023-03-13,3598
2023-03-14,3646
2023-03-15,3465
2023-03-16,3074
2023-03-17,2740
2023-03-18,2830
2023-03-19,2261
2023-03-20,3465
2023-03-21,3445
2023-03-22,1987
2023-03-23,3294
2023-03-24,2996
2023-03-25,2575
2023-03-26,2505
2023-03-27,2326
2023-03-28,2670
2023-03-29,4444
2023-03-30,3502
2023-03-31,2165
2023-04-01,3267
2023-04-02,4922
2023-04-03,3294
2023-04-04,2139
2023-04-05,2794
2023-04-06,1910
2023-04-07,3229
2023-04-08,2635
2023-04-09,2651
2023-04-10,4003
2023-04-11,2058
2023-04-12,3645
2023-04-13,1396
2023-04-14,3089
2023-04-15,2113
2023-04-16,2746
2023-04-17,1724
2023-04-18,2710
2023-04-19,3176
2023-04-20,1219
2023-04-21,2003
2023-04-22,3122
2023-04-23,2324
2023-04-24,2944
2023-04-25,2899
2023-04-26,4204
2023-04-27,1863
2023-04-28,3398
2023-04-29,2956
2023-04-30,2116
2023-05-01,3800
2023-05-02,1792
2023-05-03,2520
2023-05-04,2505
2023-05-05,1324
2023-05-06,2948
2023-05-07,3575
2023-05-08,2668
2023-05-09,3517
2023-05-10,2555
2023-05-11,3658
2023-05-12,2230
2023-05-13,2693
2023-05-14,1932
2023-05-15,2579
2023-05-16,3840
2023-05-17,1133
2023-05-18,2019
2023-05-19,2276
2023-05-20,3226
2023-05-21,1673
2023-05-22,2972
2023-05-23,2465
2023-05-24,2001
2023-05-25,2142
2023-05-26,2998
2023-05-27,1488
2023-05-28,1401
2023-05-29,2938
2023-05-30,2299
2023-05-31,2659
2023-06-01,1584
2023-06-02,3045
2023-06-03,2839
2023-06-04,2607
2023-06-05,2469
2023-06-06,4598
2023-06-07,3974
2023-06-08,3384
2023-06-09,3025
2023-06-10,2194
2023-06-11,3103
2023-06-12,1720
2023-06-13,3263
2023-06-14,2515
2023-06-15,2995
2023-06-16,3153
2023-06-17,2456
2023-06-18,2549
2023-06-19,2817
2023-06-20,2307
2023-06-21,1808
2023-06-22,4188
2023-06-23,2402
2023-06-24,1859
2023-06-25,2739
2023-06-26,3163
2023-06-27,1834
2023-06-28,2839
2023-06-29,2625
2023-06-30,2070
2023-07-01,1968
2023-07-02,2511
2023-07-03,2478
2023-07-04,2303
2023-07-05,3656
2023-07-06,2255
2023-07-07,3131
2023-07-08,3069
2023-07-09,2651
2023-07-10,2596
2023-07-11,3189
2023-07-12,2898
2023-07-13,2327
2023-07-14,2711
2023-07-15,2932
2023-07-16,2435
2023-07-17,2930
2023-07-18,1245
2023-07-19,2194
2023-07-20,3261
2023-07-21,2719
2023-07-22,4354
2023-07-23,2183
2023-07-24,3080
2023-07-25,3630
2023-07-26,2101
2023-07-27,2797
2023-07-28,3420
2023-07-29,4141
2023-07-30,2737
2023-07-31,4167
2023-08-01,2047
2023-08-02,2120
2023-08-03,2445
2023-08-04,3552
2023-08-05,2099
2023-08-06,2853
2023-08-07,4098
2023-08-08,1515
2023-08-09,2526
2023-08-10,2376
2023-08-11,2463
2023-08-12,2207
2023-08-13,2739
2023-08-14,4596
2023-08-15,2089
2023-08-16,2885
2023-08-17,2705
2023-08-18,3680
2023-08-19,3079
2023-08-20,1761
2023-08-21,3791
2023-08-22,1977
2023-08-23,4213
2023-08-24,4054
2023-08-25,2203
2023-08-26,2995
2023-08-27,3690
2023-08-28,1434
2023-08-29,2829
2023-08-30,2002
2023-08-31,2978
2023-09-01,3330
2023-09-02,4716
2023-09-03,2936
2023-09-04,3456
2023-09-05,3276
2023-09-06,3651
2023-09-07,2255
2023-09-08,2699
2023-09-09,2423
2023-09-10,1884
2023-09-11,3395
2023-09-12,2834
2023-09-13,1982
2023-09-14,3012
2023-09-15,2441
2023-09-16,2583
2023-09-17,3482
2023-09-18,2189
2023-09-19,2127
2023-09-20,1979
2023-09-21,3237
2023-09-22,2885
2023-09-23,3080
2023-09-24,3670
2023-09-25,2982
2023-09-26,1664
2023-09-27,2280
2023-09-28,2369
2023-09-29,3321
2023-09-30,1888
2023-10-01,2032
2023-10-02,1885
2023-10-03,2408
2023-10-04,2407
2023-10-05,2400
2023-10-06,2302
2023-10-07,2558
2023-10-08,2196
2023-10-09,3420
2023-10-10,3648
2023-10-11,3571
2023-10-12,2533
2023-10-13,2681
2023-10-14,2115
2023-10-15,3545
2023-10-16,2732
2023-10-17,3776
2023-10-18,2741
2023-10-19,4020
2023-10-20,2845
2023-10-21,5389
2023-10-22,2769
2023-10-23,1995
2023-10-24,2259
2023-10-25,3185
2023-10-26,2269
2023-10-27,3424
2023-10-28,2741
2023-10-29,4153
2023-10-30,2094
2023-10-31,1778
2023-11-01,3009
2023-11-02,1784
2023-11-03,4039
2023-11-04,2047
2023-11-05,3377
2023-11-06,3819
2023-11-07,2551
2023-11-08,2323
2023-11-09,3044
2023-11-10,4090
2023-11-11,3423
2023-11-12,2548
2023-11-13,3008
2023-11-14,4264
2023-11-15,2209
2023-11-16,2595
2023-11-17,3596
2023-11-18,2120
2023-11-19,3630
2023-11-20,2805
2023-11-21,3137
2023-11-22,3364
2023-11-23,2069
2023-11-24,2592
2023-11-25,3757
2023-11-26,3053
2023-11-27,4757
2023-11-28,1568
2023-11-29,2482
2023-11-30,3411
2023-12-01,2698
2023-12-02,3191
2023-12-03,2960
2023-12-04,3502
2023-12-05,2542
2023-12-06,2234
2023-12-07,3089
2023-12-08,1714
2023-12-09,1256
2023-12-10,2795
2023-12-11,4037
2023-12-12,2428
2023-12-13,3891
2023-12-14,3098
2023-12-15,3694
2023-12-16,2106
2023-12-17,3646
2023-12-18,2131
2023-12-19,1706
2023-12-20,3333
2023-12-21,2740
2023-12-22,2849
2023-12-23,2020
2023-12-24,3214
2023-12-25,1801
2023-12-26,3145
2023-12-27,2475
2023-12-28,4122
2023-12-29,2799
2023-12-30,4359
2023-12-31,2711
2024-01-01,3053
